nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,games_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,games_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,games_champ_3,winrate_champ_3,champ_4,regional_rank_4,kills_champ_4,deaths_champ_4,assists_champ_4,games_champ_4,winrate_champ_4,champ_5,regional_rank_5,kills_champ_5,deaths_champ_5,assists_champ_5,games_champ_5,winrate_champ_5,champ_6,regional_rank_6,kills_champ_6,deaths_champ_6,assists_champ_6,games_champ_6,winrate_champ_6,champ_7,regional_rank_7,kills_champ_7,deaths_champ_7,assists_champ_7,games_champ_7,winrate_champ_7,champ_8,regional_rank_8,kills_champ_8,deaths_champ_8,assists_champ_8,games_champ_8,winrate_champ_8
Stend,Thresh,217,2.1,4.0,16.6,25,68.0,Rakan,497,1.9,3.4,15.0,22,59.1,Pyke,1108,6.8,4.5,8.8,20,45.0,Lux,2232,4.1,5.8,13.7,17,58.8,Karma,2640,3.5,4.4,19.8,16,68.8,Ashe,1058,3.8,5.9,16.8,15,80.0,Heimerdinger,483,4.0,5.1,8.7,10,50.0,Jhin,2270,8.3,3.6,9.3,7,57.1
Maxlore,Viego,174,7.7,5.1,7.5,147,46.3,Sylas,88,8.8,4.8,7.9,134,56.0,Rengar,56,7.8,4.4,6.4,69,58.0,Kindred,98,8.9,6.2,8.7,58,63.8,Jayce,7,2.9,7.0,4.6,20,40.0,Maokai,2309,4.9,4.5,10.2,19,57.9,Wukong,1803,8.1,3.8,7.5,19,42.1,Jarvan IV,3415,6.3,4.5,13.3,12,58.3
M1dLaoBan,Irelia,78,7.0,6.6,5.0,43,41.9,Tristana,615,6.6,5.6,4.8,35,60.0,Aphelios,232,4.3,7.2,8.4,28,53.6,Jayce,257,7.5,6.8,7.2,24,54.2,Ryze,1176,7.2,3.8,8.8,21,76.2,Gragas,1007,5.6,5.2,8.9,21,57.1,Caitlyn,5104,6.8,5.5,6.9,18,44.4,Aurelion Sol,0,5.3,6.2,6.7,18,44.4
Percy Magic,Syndra,15,6.3,3.4,6.0,50,68.0,Sylas,3,6.6,3.1,5.6,42,45.2,Jayce,667,5.8,4.4,5.4,41,58.5,Ezreal,207,6.1,4.4,5.5,30,43.3,Ryze,2239,6.3,3.6,6.8,29,51.7,Viktor,921,5.1,3.6,5.3,27,66.7,Lee Sin,251,6.7,3.8,6.6,24,37.5,Kai'Sa,2494,7.2,4.4,5.9,22,54.5
Disabled Chattt,Syndra,1825,6.4,3.1,5.4,27,66.7,Ryze,414,5.2,3.2,7.2,26,69.2,LeBlanc,137,6.2,2.6,6.0,21,47.6,Akali,456,5.0,3.8,3.4,21,42.9,Zed,3215,7.3,4.3,6.6,17,47.1,Yone,3763,3.8,4.1,5.1,16,56.3,Ezreal,2979,6.6,5.0,7.2,16,43.8,Irelia,6624,5.2,5.9,4.4,13,30.8
FΙGHT,Lee Sin,29,6.3,4.7,6.7,34,55.9,Gangplank,385,5.0,5.8,7.4,33,57.6,Jayce,562,4.5,4.5,4.6,32,50.0,Fiora,588,3.6,3.8,3.8,28,57.1,Olaf,1011,7.5,4.7,5.0,25,64.0,Sion,523,3.6,3.3,8.4,23,69.6,Renekton,272,3.8,4.3,5.2,21,57.1,Kled,436,6.8,4.7,7.4,17,70.6
Boukada,Nidalee,112,9.8,4.2,10.7,20,85.0,Elise,78,9.2,4.3,10.5,20,80.0,Maokai,294,4.8,5.3,11.1,15,53.3,Lee Sin,3310,8.4,5.5,11.7,14,50.0,Vi,2654,6.4,5.9,8.9,14,42.9,Viego,4692,8.7,7.0,6.8,12,50.0,Jarvan IV,3692,4.8,6.7,16.7,11,54.5,Sejuani,0,4.3,2.9,10.1,8,75.0
KC Leona,Heimerdinger,411,3.5,5.8,10.5,30,60.0,Nautilus,178,1.6,5.9,12.1,30,43.3,Ashe,1499,3.4,7.6,14.4,29,48.3,Lux,2211,3.9,5.7,13.2,28,67.9,Rakan,331,1.6,5.2,14.4,28,46.4,Leona,1450,1.4,5.2,14.4,20,75.0,Karma,64,2.2,4.0,11.0,20,45.0,Ezreal,3063,6.7,6.3,6.4,18,38.9
boiat nastana,Ryze,19,5.5,4.0,8.0,65,61.5,Syndra,4,6.4,4.9,7.1,31,64.5,Tristana,280,7.3,4.6,5.5,27,66.7,Yone,371,6.0,5.3,4.7,21,61.9,Sylas,910,6.3,6.3,9.6,21,47.6,Ezreal,3542,6.2,6.5,8.1,11,54.5,Tryndamere,12315,5.5,5.5,5.9,11,45.5,Annie,1672,4.2,5.1,6.0,10,60.0
Beanovich,Xayah,71,7.6,4.4,6.1,151,62.3,Caitlyn,28,6.9,4.4,6.7,71,50.7,Zeri,195,6.7,4.6,6.2,61,37.7,Ezreal,342,6.0,5.3,6.0,44,52.3,Malzahar,301,3.7,3.5,6.5,39,61.5,Lucian,26,7.7,4.7,5.9,30,63.3,Jhin,1930,5.7,3.1,6.5,25,60.0,Varus,1807,5.3,5.0,7.5,24,50.0
bluerzor,Elise,388,7.3,4.6,8.9,47,57.4,Graves,84,7.1,4.8,8.2,37,51.4,Vi,320,6.1,4.1,9.4,28,53.6,Maokai,1321,4.0,4.3,10.6,26,53.8,Wukong,1614,7.3,4.2,8.1,24,54.2,Bel'Veth,1877,7.5,3.7,7.1,21,61.9,Lee Sin,487,6.6,4.2,8.3,20,60.0,Gragas,1237,5.1,3.5,6.5,15,53.3
Zaunite Mylo,Rakan,1928,2.2,4.8,18.5,37,59.5,Karma,17273,2.9,4.8,14.9,27,48.1,Ashe,459,2.9,6.2,15.5,26,61.5,Annie,2055,2.7,5.5,17.1,21,76.2,Nautilus,1013,2.7,5.2,15.3,19,57.9,Nami,413,2.2,5.3,19.1,14,78.6,Thresh,1620,2.2,5.7,16.2,12,8.3,Lux,1155,5.5,6.2,13.4,11,45.5
