nombre_invocador,kills_player_kda,deaths_player_kda,assists_player_kda,rol_1,games_per_rol_1,winrate_per_rol_1,rol_2,games_per_rol_2,winrate_per_rol_2,rol_3,games_per_rol_3,winrate_per_rol_3
red pepper tuna,5.7,4.7,6.4,Mid,163,63.8,Top,23.0,56.5,Jungler,5.0,20.0
EL RONRONS,5.1,4.7,4.9,Top,247,62.3,Mid,9.0,44.4,AD Carry,7.0,42.9
Babygirl Laura,2.3,5.0,13.4,Support,580,53.3,Mid,9.0,33.3,Top,2.0,50.0
Jeyrus,6.9,5.1,6.7,AD Carry,234,55.6,Jungler,35.0,45.7,Top,2.0,0.0
Kick a boo,4.7,4.0,11.1,Support,167,56.3,Mid,26.0,53.8,AD Carry,13.0,46.2
Rayito,5.7,5.3,8.0,AD Carry,226,52.7,Support,13.0,92.3,Mid,7.0,57.1
吉娃娃只有5歲,6.3,4.4,6.8,Mid,142,65.5,AD Carry,31.0,48.4,Support,10.0,50.0
wo hao cai,5.8,4.5,7.1,Mid,329,53.5,Top,33.0,57.6,Support,20.0,60.0
kStars Telas,4.0,5.7,13.7,Support,296,56.1,AD Carry,33.0,57.6,Mid,7.0,28.6
죽림초,4.7,4.6,4.4,Top,616,52.6,Mid,38.0,44.7,Jungler,19.0,68.4
ARMAO,6.3,4.8,8.4,Jungler,122,56.6,Mid,16.0,68.8,Top,4.0,50.0
RNG GALA 9,6.3,6.4,7.2,AD Carry,113,60.2,Top,28.0,42.9,Support,10.0,40.0
Paresz14,7.0,4.4,8.8,Jungler,199,58.3,AD Carry,34.0,64.7,Mid,4.0,50.0
udacznik,8.0,6.6,6.7,Mid,180,52.2,AD Carry,161.0,59.6,Top,7.0,71.4
M1nit,2.7,4.5,12.4,Support,405,57.8,AD Carry,29.0,44.8,Top,21.0,47.6
FUN k3y,7.9,5.8,7.0,AD Carry,172,59.3,Mid,6.0,33.3,Support,4.0,50.0
Chtholly Nota,1.4,4.4,12.6,Support,328,53.4,Mid,17.0,58.8,Top,13.0,69.2
zcxsdasdas,5.4,5.2,5.1,Top,258,58.1,Mid,23.0,39.1,Support,9.0,33.3
alvarooo,2.8,5.1,14.2,Support,352,57.4,Jungler,28.0,42.9,AD Carry,11.0,63.6
MetroArcher,6.0,5.0,6.5,AD Carry,237,54.0,Mid,8.0,62.5,Top,1.0,100.0
Kuqze,7.1,5.8,6.8,AD Carry,162,59.3,Mid,38.0,50.0,Top,17.0,58.8
Emil123,6.0,4.9,6.2,Mid,327,54.1,AD Carry,48.0,56.3,Jungler,8.0,62.5
WPE Azeved02,4.4,4.3,9.8,AD Carry,144,54.2,Support,99.0,57.6,Top,1.0,100.0
職業玳打微ysrw66,7.3,3.7,7.1,Jungler,122,66.4,Mid,74.0,70.3,Top,21.0,71.4
by chef,6.2,4.5,8.8,Jungler,273,56.0,Top,7.0,28.6,Mid,4.0,75.0
FX Tay,6.0,4.7,5.7,Top,149,58.4,Mid,7.0,57.1,Jungler,4.0,25.0
TTV AKASHI10,6.3,4.4,7.0,Mid,339,54.9,AD Carry,45.0,51.1,Support,5.0,40.0
natamumu,7.4,4.6,6.7,AD Carry,169,58.0,Mid,25.0,48.0,Jungler,24.0,45.8
QQ LOVE,2.4,4.4,11.9,Support,475,54.9,Mid,19.0,42.1,AD Carry,7.0,71.4
Copý,5.7,4.4,7.1,Mid,156,60.3,Top,19.0,57.9,Jungler,13.0,53.8
裂空破,5.3,4.9,7.6,Top,114,70.2,Support,21.0,57.1,Mid,6.0,100.0
zikiinha,6.9,5.8,9.4,Jungler,373,53.9,Mid,40.0,35.0,Support,27.0,48.1
the pob,6.1,4.2,5.7,Mid,382,52.1,AD Carry,40.0,47.5,Top,34.0,52.9
ProDelta,2.6,5.9,14.0,Support,289,57.4,Mid,31.0,38.7,AD Carry,4.0,25.0
TL Honda MaRin,6.3,4.9,5.8,Top,174,56.3,Jungler,39.0,61.5,Mid,5.0,40.0
니가 깨기 전에,6.3,4.0,7.8,Jungler,196,62.8,AD Carry,39.0,41.0,Top,14.0,57.1
LOUD Ceos,3.5,5.3,12.6,Support,205,60.5,AD Carry,47.0,42.6,Mid,1.0,0.0
BABO TOP,5.5,4.0,5.8,Top,300,55.3,Mid,14.0,50.0,AD Carry,11.0,36.4
STP ME PARLE PAS,7.3,4.4,8.7,Jungler,157,63.7,Top,8.0,50.0,Mid,3.0,66.7
Airflash,6.8,5.1,5.2,Top,161,58.4,Mid,14.0,64.3,Jungler,10.0,30.0
donbray,2.3,4.7,12.1,Support,143,60.1,Mid,8.0,75.0,AD Carry,6.0,66.7
MartinSON,6.1,4.1,8.8,Jungler,259,54.8,Mid,30.0,36.7,Top,28.0,50.0
blazar3,7.2,6.1,5.8,AD Carry,241,54.4,Mid,16.0,56.3,Top,2.0,50.0
wx 1065620772,6.3,4.1,8.4,Jungler,149,61.7,Support,19.0,52.6,AD Carry,9.0,44.4
RIV ixdmmpxr,6.5,5.3,8.1,AD Carry,328,55.8,Support,20.0,40.0,Mid,10.0,20.0
LBR Drakehero,6.6,4.9,8.4,Jungler,402,55.2,Mid,36.0,47.2,Top,34.0,50.0
mashushu,5.7,5.3,7.1,Mid,172,57.6,Top,34.0,61.8,Jungler,6.0,33.3
cinnamon girl,7.5,5.9,5.9,Top,116,60.3,Jungler,51.0,49.0,Mid,4.0,75.0
ssavraa,5.2,5.7,6.3,Mid,267,54.3,Support,52.0,51.9,Top,42.0,59.5
ZaltHate,6.2,6.3,6.3,Mid,206,56.3,Jungler,32.0,53.1,AD Carry,24.0,50.0
