nombre_invocador,elyoyaaaaaaaaaaa,Razørk Activoo,잘가요 굿바이,blaberfish2,I Love Uber Eats,Maxlore,Boukada,bluerzor,total
陪daiVX Ekko4567,0.0003456099364243377,0.0010258639226381552,0.00014036323125332458,0.001473552768557186,0.002679155694602526,0.001241475906080694,0.0003126167904603162,0.0003362028424067133,0.007554841092423253
Paresz14,0.000380552940997434,0.0020034659890206257,0.0001415617073979276,0.0014725262934733722,0.0017254418828386061,0.0010670813620786755,0.0003762669092549201,0.0003704718307374167,0.007537368915798978
BABO JUNGLE1,0.0003401441378208946,0.00096030801831845,0.00013999823308584103,0.0014364638358239255,0.0028024137756770848,0.0012192987393851622,0.000307792122509765,0.0003306821820447349,0.007537101044665857
loveIyx,0.002448827541703221,0.0004289425016480212,0.00016103090922679126,0.00034936732080849436,0.0003556539067489076,0.00043089558982851674,0.0003285751004661129,0.002899036258672645,0.00740232912910271
LOS CrjaY,0.00035260727065580783,0.0009169495540158108,0.00014159201642269435,0.0011157614969413815,0.002364244671865878,0.0018599178032373482,0.00030117660575721653,0.0003418188286465535,0.0073940682475426905
但偏偏雨漸漸,0.0003770626689607931,0.0012729403451887252,0.00014253958010459008,0.0013697682706003834,0.0021093336152377675,0.0014147973007202367,0.00033292634982240725,0.00036577733158191255,0.007385145462216816
Bo Fan,0.00038085677234648137,0.0010911729485812561,0.0001435213794337405,0.0011800653227703789,0.0019632868543856263,0.001909270646575106,0.00031763108061680763,0.00036907345362588505,0.007354878458335282
mxxxx,0.00037684657109141533,0.0010172192983091948,0.00014468430590102314,0.0011189763062325496,0.001810218101189622,0.00219949071713365,0.000308364577844578,0.00036472961106000224,0.007340529488762035
MartinSON,0.00034995622629930645,0.0009591135982008861,0.0001411539688550067,0.0012873571170467116,0.0024953417751511693,0.0014563024330759883,0.00030550016991765037,0.0003397348996464977,0.007334460188193216
King,0.00035434519556604773,0.0009589239439355679,0.0001417387115331173,0.0012108845263222867,0.002327002478697256,0.001657204317608375,0.0003047379672626306,0.0003434587348696988,0.00729829587579498
AERO X BANE PAIN,0.00032572631546200784,0.0008539325626614881,0.00013871494718786415,0.00128318874207194,0.002840268130699702,0.0012195917113938443,0.0002961073505386047,0.00031655335456248003,0.007274083114577931
NNJ Azrawr,0.000343701039021545,0.0008926510018199296,0.00014316674671255484,0.0013292271722926874,0.0025029580185685204,0.001392128580117618,0.00029980198195369185,0.00033213241539261566,0.007235766955879163
피그말랑 효과,0.00042816539937743075,0.0007910312488058433,0.0001470002302910293,0.0007054226058824762,0.0009790452368590578,0.00346186882095364,0.00030083701403681526,0.0004116493131895653,0.007225019869395858
STEPZ,0.00031863548871586156,0.0008276539168895789,0.00013934606027900785,0.0014699248783232384,0.00276587821846086,0.0010597272267949959,0.00029613097486913895,0.0003091205516867854,0.007186417316019466
Ice Prince,0.00033846242513911487,0.0008933687731955507,0.0001414084521912261,0.0013659703150075196,0.002491281060701502,0.0012524906780537078,0.00029941618803948773,0.0003282302011699667,0.0071106280934980755
eilataN,0.0003533944357459999,0.0009465703768046563,0.0001433752256805004,0.0011406954222097487,0.002048520726387297,0.0018285291210597336,0.0003027932768790095,0.0003418589089554965,0.007105737493722441
Soweto,0.0003699208969630345,0.0009796762017017615,0.00014346487279745613,0.001165952574259547,0.0019415063205488058,0.0018373003435982486,0.00030699498297931784,0.0003582229380578227,0.007103039130905995
Promise to Dark,0.0004097933264089701,0.0015605902143836024,0.00014388162246075465,0.0011691908054330055,0.001599754661553603,0.0014664267647427497,0.00035551352748601256,0.00039753397366676656,0.007102684896135464
林小希,0.00032644946210175,0.0008483009329658717,0.0001387029224244034,0.0012071723196347345,0.002677071304290632,0.0012819561335997405,0.00029539652546930486,0.00031708512876850236,0.0070921347292549385
LEWANDOWSKI 9,0.00035938755477796816,0.0016007918082012874,0.00014488121663725653,0.002029033171081228,0.0013550603634167216,0.0008034780131504643,0.00038686853480711267,0.0003480280603880963,0.007027528722460135
