nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
グレイラースＺＺ,JP,Challenger,599,2051,49.5,2.7,6.9,10.5,0.0030186092460068
Doveee,PH,Challenger,595,2074,56.3,2.6,5.9,14.0,0.0030067104897664
Redentor,BR,GrandMaster,920,2640,52.7,3.5,5.7,12.1,0.0030027313444149
暖 冬,JP,Challenger,588,2111,52.7,3.0,4.9,11.5,0.003002531473296
Hero arc,LAS,Challenger,576,2168,53.3,2.8,4.8,11.5,0.0029950462895784
Camilo,EUNE,Challenger,608,1981,53.1,7.0,6.8,7.7,0.0029908568391047
百鬼丸,JP,Challenger,592,2094,56.7,3.0,5.7,11.9,0.0029840176702014
morale support,VN,Challenger,510,2524,57.4,2.8,5.4,12.8,0.0029772276051817
callate boludito,LAS,Challenger,582,2137,53.4,3.4,4.0,11.2,0.0029713711274687
Loggan Double G,LAS,Challenger,537,2344,53.8,3.0,4.1,10.2,0.0029652543893165
never one,BR,Challenger,1126,222,56.0,4.5,5.2,12.1,0.0029590916500032
1Pasha,LAS,Challenger,596,2066,53.8,2.6,5.3,12.2,0.0029523261163351
WindüChaser,TW,Challenger,581,2144,52.7,3.0,4.5,11.7,0.0029480650248167
GSE Azazel,PH,Challenger,566,2211,55.8,2.7,4.5,14.0,0.0029457103786565
Veignorem,EUW,GrandMaster,780,2857,52.2,2.6,5.0,12.5,0.0029412497081208
Pandorá,PH,Challenger,587,2116,58.7,2.9,6.4,13.0,0.0029205512092261
DuDu111,KR,Challenger,805,1093,57.5,2.6,5.8,12.9,0.0029203937329591
maestro tomberi,LAS,Challenger,560,2238,57.3,4.6,5.8,11.3,0.0029191836410782
maestro tomberi,LAS,Challenger,560,2238,57.3,4.6,5.8,11.3,0.0029190981509237
enpad,PH,Challenger,536,2351,62.0,4.0,5.7,13.1,0.0029172117617408
Arecent,SG,Challenger,561,2232,51.5,3.8,4.7,10.5,0.0029147978500883
im a cυte girl,EUW,GrandMaster,732,3019,55.1,3.6,4.8,11.1,0.0029105536846185
Zimba1,EUW,GrandMaster,766,2901,57.7,2.0,3.9,12.3,0.0029101489536504
Tiago Rodrigues,EUW,GrandMaster,943,2634,55.0,2.7,5.1,13.4,0.0029063197510548
BIade Runner2049,EUW,Challenger,870,863,55.4,2.3,6.4,12.7,0.0028982500518806
Its me ZEON,VN,Challenger,524,2414,57.7,3.0,5.2,11.7,0.0028981211546658
batman vermelho,BR,GrandMaster,936,2636,66.3,2.7,6.1,15.0,0.0028902896229509
กระเบน,TH,Challenger,569,2201,54.4,2.3,5.5,14.6,0.0028881982935616
TTV White Lotus,EUW,Challenger,773,1202,52.1,2.2,4.5,13.4,0.0028871741836742
messi sup acc,EUW,Challenger,1009,418,54.4,3.0,5.4,13.2,0.0028685593982274
Bailando Alistar,EUW,GrandMaster,691,3253,53.6,4.7,6.4,11.6,0.0028684774572976
Parlak Pasif Gay,TR,Challenger,539,2330,54.3,2.3,4.6,13.0,0.0028664741538093
舒華寶,TW,Challenger,554,2261,55.3,3.5,4.4,12.0,0.0028659023246662
la cariñosaa,LAS,Challenger,586,2118,54.1,2.6,5.3,13.4,0.0028654368280414
PsYcraw,EUW,GrandMaster,745,2955,54.5,2.3,4.5,12.8,0.0028629288054087
jiazzzzz,TW,Challenger,543,2305,56.4,1.9,3.9,13.1,0.0028549782126072
Hoketo,EUW,GrandMaster,815,2777,57.4,2.9,5.9,12.5,0.0028548765160905
Try again later,LAS,Challenger,771,1215,54.2,2.7,4.1,12.5,0.0028542836233852
insung,EUW,GrandMaster,705,3151,54.1,4.1,5.8,9.8,0.0028436054420654
LFL SUPPKING,EUW,GrandMaster,752,2940,54.0,2.3,4.0,13.2,0.0028432633151252
Enchanters xd,EUW,GrandMaster,834,2724,53.2,2.5,5.1,13.3,0.0028390514541421
tuna6666,SG,Challenger,562,2228,55.6,2.7,4.8,12.9,0.0028341008551337
RED Stoneses,BR,GrandMaster,746,2951,53.3,3.1,6.1,13.4,0.002830149569509
Davion,TH,Challenger,543,2310,57.5,2.6,3.8,11.8,0.0028183415550312
SmashSCY,TH,Challenger,546,2293,63.0,4.5,5.0,11.1,0.0028164721720518
winplease123,EUW,GrandMaster,729,3030,52.3,2.9,5.1,13.6,0.0028119142245931
Morgenstern,TH,Challenger,536,2349,56.7,2.4,5.3,13.2,0.00280010939283
eustachian,EUW,GrandMaster,865,2677,62.5,2.8,3.7,11.7,0.0027980514066243
RLPKVNCVLLR,PH,Challenger,521,2438,52.4,6.2,5.2,9.5,0.0027951703806453
bae lú lú,VN,Challenger,539,2329,61.0,5.3,4.8,11.3,0.0027950422305206
SIGMA MENTALlTY,EUW,GrandMaster,744,2958,52.9,2.5,5.0,11.5,0.0027900157279816
Billy,EUW,GrandMaster,708,3129,54.5,2.2,6.0,14.1,0.0027731593217794
Farketmez1256,TR,Challenger,530,2386,52.8,3.4,5.7,14.2,0.0027680753035421
Farketmez1256,TR,Challenger,530,2386,52.8,3.4,5.7,14.2,0.0027677051662692
Carrry,EUW,GrandMaster,748,2947,54.8,2.7,4.6,12.2,0.0027663608099315
TSK Milfhunter,VN,Challenger,528,2395,52.8,1.7,4.8,12.6,0.0027657677953811
天竺葵,JP,Challenger,529,2390,52.5,1.6,4.0,13.2,0.0027648258917867
天竺葵,JP,Challenger,529,2390,52.5,1.6,4.0,13.2,0.0027645883808747
ayekasia,EUW,Challenger,906,741,55.3,2.1,4.3,12.8,0.00275932071593
megx ª,EUW,GrandMaster,746,2948,52.9,2.0,5.0,13.3,0.0027581353927171
bulecha,BR,GrandMaster,847,2701,52.5,3.4,4.7,11.5,0.0027553221553721
do better,PH,Challenger,524,2418,55.9,3.6,5.9,9.5,0.0027403408599037
Wekin Poof,EUW,GrandMaster,659,3434,53.4,3.3,5.2,10.9,0.0027360875462693
Juppiterx,EUW,GrandMaster,675,3322,56.5,2.7,4.9,10.8,0.0027345292029874
Chalis,EUW,GrandMaster,837,2723,57.5,1.9,4.1,13.1,0.0027316607186179
Omiss,VN,Challenger,672,1634,56.4,3.1,6.0,12.9,0.00272946052989
4th June,EUW,GrandMaster,739,2978,53.5,2.5,4.5,12.4,0.0027282821337851
sweetie today,TH,Challenger,521,2437,57.9,4.0,4.9,11.7,0.0027257134298178
藍雙布偶,TW,Challenger,545,2297,59.0,2.9,3.5,9.9,0.0027255263738378
라면이 맛있다,KR,GrandMaster,789,2838,65.9,4.7,5.1,11.3,0.0027220621152892
xxiixxiixx,VN,Challenger,517,2470,56.7,2.3,5.1,13.1,0.0027127072213682
Billy Butcher,EUW,GrandMaster,816,2774,53.0,3.6,7.5,13.5,0.0027124616972277
69Chaz420,PH,Challenger,503,2577,52.5,3.7,6.0,12.1,0.0027069075289138
Narcissisticc,TH,Challenger,517,2466,60.8,6.7,4.3,10.0,0.0027027279398754
HadiHadi,EUW,GrandMaster,873,2662,53.9,3.6,5.4,9.5,0.0026994023013523
High Mental,TR,Challenger,513,2496,50.9,4.9,5.2,9.9,0.002694837143571
Tarmi,TR,Challenger,510,2521,54.0,2.4,6.8,14.6,0.002690819503356
TOURO REPRODÜTOR,BR,GrandMaster,844,2703,57.0,2.7,5.5,13.0,0.0026834713751379
bIessIess,EUW,GrandMaster,934,2640,65.6,3.6,4.4,13.7,0.0026676733102301
hyne chan,VN,Challenger,500,2607,54.4,5.7,5.2,9.5,0.0026571107090077
Marilamilk,TH,Challenger,505,2564,52.7,3.0,5.1,13.1,0.0026559667895327
Aikawa Kizuna,PH,Challenger,502,2591,54.1,4.0,5.4,10.2,0.0026548463905465
SNDR,PH,Challenger,705,1505,53.4,2.3,4.9,13.0,0.0026480985833736
Giguiron,BR,GrandMaster,823,2744,52.6,2.3,4.7,14.0,0.0026413575450546
Chtholly Nota,EUW,GrandMaster,845,2706,54.8,1.4,4.4,12.6,0.0026373882762366
LickMyHeaI,EUW,GrandMaster,766,2896,53.8,2.1,6.5,14.0,0.0026314719218739
Cinqe,EUW,GrandMaster,816,2772,53.0,1.7,4.5,12.9,0.0026262943275052
Dadadada Tenshi,EUW,GrandMaster,768,2890,54.2,4.0,6.2,11.4,0.0026249125115308
Rhÿ,PH,Challenger,503,2583,58.1,6.8,4.7,11.1,0.0026067713786021
MILO J,BR,GrandMaster,678,3310,54.8,2.8,5.3,12.3,0.00260619987278
ehxc9,EUW,GrandMaster,784,2848,52.4,2.1,5.0,11.6,0.0026038489578922
ben dan xiao you,EUW,GrandMaster,665,3381,51.7,3.9,5.6,12.3,0.0026017440442365
pure empathy,EUW,GrandMaster,729,3040,55.1,2.2,5.2,15.8,0.0025961281225031
LiL TommyG,EUW,GrandMaster,779,2866,51.7,2.6,5.4,15.3,0.0025918944311246
vaggut,EUNE,Challenger,816,1050,54.9,2.6,5.3,14.6,0.0025914233626477
UpDMP,BR,GrandMaster,772,2875,51.6,4.5,5.3,10.1,0.0025870956711967
40yo glinomes,EUW,GrandMaster,710,3124,56.8,2.0,5.1,13.0,0.0025836449194562
LNG Hang,BR,GrandMaster,737,2999,51.9,2.4,5.4,12.9,0.0025797465551439
braydon,EUW,GrandMaster,634,3610,55.0,2.9,5.9,13.2,0.0025776693853388
