nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
AGC de sidere,EUW,GrandMaster,696,3212,54.0,5.5,5.2,8.1,0.005118481147234
Yuu13,EUW,Challenger,785,1166,53.3,7.2,4.1,7.2,0.0050761140328018
aesthetic addict,EUNE,Challenger,760,1272,54.2,5.3,4.6,9.9,0.0050707289870236
NNOne Piece,EUW,Challenger,1093,264,58.7,7.0,3.9,9.1,0.0050592022918064
Anechek dog,EUW,GrandMaster,683,3293,52.7,6.3,5.9,8.8,0.0050474385867188
Aniayua,TW,Challenger,859,901,64.0,6.5,3.1,6.5,0.0050396391822745
719,JP,Challenger,760,1270,52.0,7.7,4.4,7.3,0.0050320504916971
HamBak,KR,Challenger,780,1186,54.1,6.6,4.3,7.9,0.0050290301239641
Fanatiik,EUW,Challenger,798,1118,60.6,6.7,4.5,10.7,0.0050136220212279
EmbraceLife,EUW,Challenger,778,1191,60.4,6.8,5.5,7.8,0.0050045461419532
wx 1065620772,OCE,Challenger,802,1104,58.0,6.3,4.1,8.4,0.0050036846600485
SOLOQ IS GOOD,EUW,GrandMaster,824,2751,54.9,5.9,4.0,8.6,0.004992461777985
Glorias,EUW,Challenger,755,1292,54.1,5.3,4.8,8.9,0.0049825495435989
KOI Malrang1,EUW,Challenger,859,904,58.9,6.1,4.0,9.1,0.0049777781336817
Now,EUW,Challenger,760,1271,60.1,5.9,4.9,8.9,0.0049776950763384
AeryIsKawaii,EUW,Challenger,769,1222,64.1,7.4,5.0,8.7,0.0049592707943715
FUT Mojito,EUW,Challenger,813,1059,54.1,6.9,6.1,8.5,0.0049095934771023
dlwlrma fan,EUW,Challenger,756,1289,57.0,8.0,4.7,8.5,0.0048852581930335
ASTROBOY99,EUW,Challenger,1046,337,58.5,7.7,5.3,8.7,0.0048679846415277
LeaningTable TTV,EUW,Challenger,799,1110,59.3,5.5,4.3,10.7,0.0048679121880728
Miky boy,EUW,GrandMaster,674,3341,51.4,6.4,5.1,8.3,0.0048074702229706
L9 Myκys,EUNE,Challenger,741,1358,55.6,8.8,5.1,7.0,0.0047740587236124
Damngøre,LAS,Challenger,735,1376,53.3,6.8,5.1,7.8,0.0047675327773501
KeeI,EUW,Challenger,896,774,54.2,5.9,5.2,8.2,0.0047592450388844
Nightmisty,EUW,Challenger,761,1266,52.5,6.4,5.3,9.3,0.0047575691777965
Sarcasm1,EUW,Challenger,894,783,56.7,5.9,4.1,8.4,0.0047573090273469
Billy Butcher XD,BR,Challenger,1507,18,60.3,8.0,5.9,7.8,0.0047493056415902
Billy Butcher XD,EUW,GrandMaster,838,2725,53.8,6.9,4.2,8.5,0.0047493056415902
Billy Butcher XD,BR,Challenger,1507,18,60.3,6.9,4.2,8.5,0.0047493056415902
Billy Butcher XD,EUW,GrandMaster,838,2725,53.8,8.0,5.9,7.8,0.0047493056415902
BoomBOBAS,EUW,GrandMaster,704,3159,53.1,6.0,5.6,8.8,0.0047469660193423
Billy Butcher XD,BR,Challenger,1507,18,60.3,6.9,4.2,8.5,0.0047443222417964
Billy Butcher XD,BR,Challenger,1507,18,60.3,8.0,5.9,7.8,0.0047443222417964
Billy Butcher XD,EUW,GrandMaster,838,2725,53.8,8.0,5.9,7.8,0.0047443222417964
Billy Butcher XD,EUW,GrandMaster,838,2725,53.8,6.9,4.2,8.5,0.0047443222417964
The Speed Freak,EUNE,Challenger,717,1447,57.4,4.9,3.4,10.5,0.004723827925738
Happy Alexx,EUW,Challenger,875,849,53.3,5.2,4.2,8.4,0.0047124063633001
kisno,EUW,Challenger,978,502,52.4,6.6,4.6,7.0,0.0046660019696151
咩啊咩啊,TW,Challenger,773,1204,55.4,6.8,4.7,8.0,0.0046511643972805
Sybol,OCE,Challenger,764,1243,55.1,6.8,6.6,8.5,0.0046478951407687
Gragascı Baki,TR,Challenger,744,1354,58.6,7.4,6.2,9.0,0.0046404172384847
xxxxlululu,KR,Challenger,757,1288,56.1,6.0,4.2,8.1,0.0046387343777362
KuLLeR972,EUNE,Challenger,671,1636,55.8,5.1,4.2,10.8,0.004618202664338
cutexin1,KR,Challenger,736,1372,56.0,6.5,3.9,7.3,0.0046076431237101
구오일삼육칠구,KR,Challenger,667,1654,55.1,6.4,4.5,8.5,0.0046026553522694
마음을담아노래해,KR,Challenger,667,1652,53.8,5.1,5.1,9.9,0.0046005936604844
Tarryasepin,BR,Challenger,1047,334,59.7,6.1,4.4,9.0,0.0045837786911986
l1ttlefish,EUW,Challenger,717,1446,55.8,4.5,4.7,8.6,0.0045277101776561
Rashun楓,TW,Challenger,540,2325,55.0,3.8,4.5,10.2,0.0045084399473606
일산전영찬,KR,Challenger,677,1605,53.4,6.8,4.3,8.7,0.004504912105696
UnExpecteDGanGS,EUNE,Challenger,756,1289,67.4,7.4,3.2,8.5,0.0045012720678991
4 9 5,VN,Challenger,632,1839,57.7,8.1,4.9,7.1,0.0044965089301865
Pelé Camisa 10,BR,GrandMaster,852,2687,55.3,6.1,4.8,8.9,0.0044883471969859
어흥 놀랐찌,KR,Challenger,710,1478,54.2,5.6,4.8,8.3,0.0044758575885217
정재호정글유튜브,KR,Challenger,699,1527,53.0,6.2,4.2,7.4,0.0044732788225741
MOONLIGHT S0NATA,EUW,GrandMaster,699,3195,56.8,7.0,4.0,8.3,0.0044729185322784
10April,EUW,GrandMaster,723,3062,55.1,5.8,3.8,9.0,0.0044482302001791
Void Is So Empty,EUNE,Challenger,599,2053,57.1,4.8,4.2,12.7,0.0044396639785298
FEAR OF DEAD,TR,Challenger,602,2018,52.6,7.6,5.4,5.2,0.0044269537621523
IIiiiillllllIII,EUNE,Challenger,713,1458,62.6,6.4,4.3,9.5,0.0044219586307274
Mbappé2025,LAN,Challenger,720,1435,55.9,8.5,6.2,8.1,0.0044149667237477
Death Sigh,LAN,Challenger,604,2002,51.3,6.6,6.0,8.2,0.0044018919198718
HGM IBrunoide,LAN,Challenger,704,1510,58.2,6.7,4.8,9.9,0.0044016938112982
Wsavh,JP,Challenger,704,1511,52.5,7.8,5.0,7.2,0.0043960698915033
DWG 암Canyon,KR,Challenger,683,1578,53.0,4.6,5.4,9.7,0.0043946946017542
