nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
Jasinto,LAN,Challenger,698,1536,53.2,6.6,5.5,7.5,0.004230991375241
Hold On,PH,Challenger,961,549,54.7,5.3,5.9,10.2,0.0042298321851819
xuue,EUW,Challenger,786,1165,59.5,5.0,4.0,7.6,0.0042289472153223
DimSumGirl,KR,Challenger,663,1683,54.3,6.6,4.8,6.6,0.0042173116836419
Perfect XVII,RU,Challenger,707,1495,53.8,7.1,6.8,7.2,0.0042063384904206
vxin1585410146,OCE,Challenger,722,1429,59.0,5.8,3.8,6.5,0.0041901387502888
Luckyy089,LAN,Challenger,688,1561,58.3,8.5,6.2,7.8,0.0041860951534214
bababaabam,KR,Challenger,800,1110,54.9,5.4,4.2,7.7,0.0041763023777737
ego lol player,EUW,Challenger,762,1258,56.0,6.4,4.9,6.9,0.0041440068892972
Seba chan,LAS,Challenger,793,1141,61.2,8.4,6.1,6.5,0.0041369129076508
FLYING GEORGE 69,EUNE,Challenger,676,1612,58.7,8.3,5.3,8.0,0.0041340183242131
羊村舵主ü慢羊羊,TW,Challenger,684,1577,58.9,6.4,5.0,5.9,0.0040729582913904
LukášKril Studio,EUNE,Challenger,662,1680,55.0,7.4,5.3,5.0,0.0040535101295608
lmperial,KR,Challenger,646,1756,54.0,7.0,5.1,6.1,0.0040489853804128
v1nboiz12345,VN,Challenger,681,1590,58.3,7.0,4.6,6.4,0.0040015238662114
Chifre 14,BR,Challenger,933,621,55.0,7.6,5.1,7.4,0.003959471954395
October 23,EUW,Challenger,762,1257,55.0,5.5,4.8,7.1,0.0039477681121816
FMC ZekheN,LAN,Challenger,788,1159,54.0,8.0,5.3,6.7,0.0039428292363
Quesito Jr,LAN,Challenger,657,1697,52.9,7.8,6.5,6.9,0.003942625425704
129480,KR,Challenger,646,1755,51.9,6.2,4.6,6.7,0.003935905613378
Kral Toxic10,TR,Challenger,682,1586,56.8,6.7,5.5,8.6,0.003916611606925
