nombre_invocador,champ_1,regional_rank_1,kills_champ_1,deaths_champ_1,assists_champ_1,winrate_champ_1,champ_2,regional_rank_2,kills_champ_2,deaths_champ_2,assists_champ_2,winrate_champ_2,champ_3,regional_rank_3,kills_champ_3,deaths_champ_3,assists_champ_3,winrate_champ_3,score
작멍2,Zoe,527,5.8,3.9,6.5,53.5,Ahri,56,4.8,4.3,7.3,57.5,Tristana,57,5.8,4.2,4.4,43.6,0.0028864755058277
작멍2,Zoe,531,5.8,3.9,6.5,53.5,Ahri,56,4.8,4.3,7.3,57.5,Tristana,56,5.8,4.2,4.4,43.6,0.0028864755058277
Competition9,Vladimir,116,6.6,3.4,4.7,50.0,Jhin,33,8.4,4.8,8.7,47.1,Vel'Koz,3130,8.1,2.4,7.6,91.7,0.0028855363340745
424PHL,Orianna,59,3.8,4.1,9.6,60.0,Jayce,192,7.6,4.7,7.5,62.5,Sylas,494,5.3,6.3,7.3,53.3,0.0028806017262111
Gorenicolt,Yone,382,5.4,5.2,6.3,50.0,Ezreal,898,4.5,4.2,6.7,38.9,Viego,3146,6.9,5.0,6.3,73.3,0.0028452977396291
jueduihexin,Sylas,16,6.2,5.5,5.6,62.1,Irelia,857,6.4,6.4,5.9,50.0,Ryze,3092,7.2,3.8,6.3,71.4,0.0028191752575479
chongxinkaishi,Gragas,103,6.1,2.6,7.2,72.2,Akali,5,6.4,3.4,4.6,50.0,LeBlanc,82,8.9,3.2,7.9,43.8,0.0028181350036606
chongxinkaishi,Gragas,102,6.1,2.6,7.2,72.2,Akali,5,6.4,3.4,4.6,50.0,LeBlanc,82,8.9,3.2,7.9,43.8,0.0028181350036606
chongxinkaishi,Gragas,103,6.1,2.6,7.2,72.2,Akali,5,6.4,3.4,4.6,50.0,LeBlanc,82,8.9,3.2,7.9,43.8,0.002817608602948
chongxinkaishi,Gragas,102,6.1,2.6,7.2,72.2,Akali,5,6.4,3.4,4.6,50.0,LeBlanc,82,8.9,3.2,7.9,43.8,0.002817608602948
Chomp,Zoe,242,6.9,3.5,7.0,60.4,Aurelion Sol,2405,6.4,4.2,8.3,55.6,Seraphine,2,4.2,4.5,12.8,54.3,0.0028052185705849
aikafei,Jayce,444,4.9,5.6,6.5,61.8,Sylas,20,4.3,5.2,5.5,49.3,Sett,167,5.2,4.8,6.3,65.4,0.0027634754027228
aikafei,Jayce,442,4.9,5.6,6.5,61.8,Sylas,20,4.3,5.2,5.5,49.3,Sett,167,5.2,4.8,6.3,65.4,0.0027634754027228
aikafei,Jayce,442,4.9,5.6,6.5,61.8,Sylas,20,4.3,5.2,5.5,49.3,Sett,167,5.2,4.8,6.3,65.4,0.0027634254818256
aikafei,Jayce,444,4.9,5.6,6.5,61.8,Sylas,20,4.3,5.2,5.5,49.3,Sett,167,5.2,4.8,6.3,65.4,0.0027634254818256
waywode,Syndra,229,6.7,5.7,5.1,59.3,Lee Sin,277,8.7,5.7,7.8,50.0,Jayce,3576,7.2,6.5,6.0,62.5,0.0027529034357072
D 5,Xerath,192,6.1,4.0,8.9,60.0,Zed,2908,8.4,5.4,5.7,51.7,Aurelion Sol,62,10.3,5.1,6.7,50.0,0.002747162278941
Graaland,Anivia,2,6.9,3.5,7.5,63.8,Ekko,7,6.6,6.3,6.1,33.3,Lissandra,3315,5.1,4.5,8.1,57.1,0.0027402025267009
kygoo,Tristana,79,7.2,6.4,4.5,53.2,Ryze,61,4.8,4.8,6.2,53.1,Kai'Sa,377,8.0,6.6,5.2,48.1,0.0027323845937254
dadarki1,Ahri,224,6.7,4.2,6.7,56.8,Cassiopeia,10,4.9,5.6,4.8,42.1,Jhin,676,5.1,3.8,6.5,60.0,0.0026464000431315
eBaz,Cassiopeia,1,7.6,4.6,5.9,70.0,Yone,2876,6.2,4.4,4.8,47.8,Yasuo,1,8.1,5.6,6.0,58.6,0.0026201854627626
ºS1 Shiędą Kąynº,Katarina,201,8.7,5.8,5.5,55.3,Kayn,3121,8.3,6.2,8.5,58.6,Mordekaiser,9,7.2,4.5,6.8,62.5,0.0026048972096688
Brunox1001,Zac,484,5.4,4.4,8.9,59.4,Caitlyn,1287,13.9,8.9,8.4,53.3,Akali,35,7.5,6.1,4.0,37.5,0.0025712892144006
Charlie2,Jayce,517,6.8,4.7,5.7,60.9,Gragas,1492,4.7,4.6,6.6,42.1,LeBlanc,2670,6.3,3.9,5.7,62.5,0.002570245855571
Hidden Alen,Sett,318,3.9,5.2,4.8,45.0,Yone,3049,5.5,5.1,5.5,64.7,Syndra,1137,5.2,4.8,4.8,46.2,0.002568417020101
Hidden Alen,Sett,312,3.9,5.2,4.8,45.0,Yone,3024,5.5,5.1,5.5,64.7,Syndra,1125,5.2,4.8,4.8,46.2,0.002568417020101
Hidden Alen,Sett,312,3.9,5.2,4.8,45.0,Yone,3024,5.5,5.1,5.5,64.7,Syndra,1125,5.2,4.8,4.8,46.2,0.0025530300555906
Hidden Alen,Sett,318,3.9,5.2,4.8,45.0,Yone,3049,5.5,5.1,5.5,64.7,Syndra,1137,5.2,4.8,4.8,46.2,0.0025530300555906
Fuuu,Sylas,277,8.2,3.7,7.2,66.7,Irelia,433,8.1,6.0,5.5,35.7,Akali,3936,10.3,4.1,4.2,72.7,0.0025437723469051
T e a m o 1,Yone,116,6.8,4.1,4.6,57.9,Vladimir,3198,5.9,3.3,4.7,47.4,Blitzcrank,6,1.1,3.0,14.7,71.4,0.0025413648640448
MoeTube,Cassiopeia,455,6.2,5.9,6.3,60.0,Graves,6,6.3,7.0,9.4,46.9,Irelia,286,6.6,6.3,3.9,30.8,0.0025288857831014
예 샨,K'Sante,489,5.2,4.1,7.4,57.6,Viego,32,5.0,4.5,5.0,50.0,Karma,3096,3.8,5.4,7.8,20.0,0.0025116801722543
예 샨,K'Sante,480,5.2,4.1,7.4,57.6,Viego,33,5.0,4.5,5.0,50.0,Karma,3091,3.8,5.4,7.8,20.0,0.0025116801722543
예 샨,K'Sante,489,5.2,4.1,7.4,57.6,Viego,32,5.0,4.5,5.0,50.0,Karma,3096,3.8,5.4,7.8,20.0,0.0025092804011354
예 샨,K'Sante,480,5.2,4.1,7.4,57.6,Viego,33,5.0,4.5,5.0,50.0,Karma,3091,3.8,5.4,7.8,20.0,0.0025092804011354
哈大狗入侵,K'Sante,40,5.1,3.9,5.7,66.7,Sylas,3384,5.3,3.8,4.8,50.0,Kassadin,4,8.1,2.7,5.0,67.7,0.0024870425053323
Morssel,Ekko,42,7.2,3.4,4.8,57.3,Shen,3337,4.1,3.8,8.9,56.3,Wukong,4,6.2,4.2,5.4,71.4,0.0024744743173564
Tokiyami,Akali,741,8.9,5.2,3.9,50.7,Veigar,22,7.2,5.4,6.7,62.5,Nami,336,2.3,5.3,13.2,58.3,0.0024705249475343
Lagolinas,K'Sante,773,4.3,3.3,6.0,67.4,Akshan,19,9.1,4.8,5.0,41.2,Zoe,3593,5.0,3.5,8.6,54.5,0.0024660412269246
