nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
L9 Mikusik11,EUNE,Challenger,680,1595,62.3,8.2,5.6,5.7,0.0050036796561912
Ariendel,EUW,GrandMaster,769,2881,51.5,5.3,4.8,7.6,0.0049988566451399
子夜輝煌,TW,Challenger,536,2348,55.5,5.4,6.3,7.7,0.0049859341262428
一心憧憬的小孤獨,TW,Challenger,547,2282,54.7,7.8,4.2,5.9,0.0049807999314886
boxbox,RU,Challenger,666,1663,54.5,7.1,5.6,6.0,0.0049783937728261
DBpYcEy8rZ6lbzr4,EUW,GrandMaster,740,2983,61.7,7.0,5.3,7.0,0.0049732147521339
나라카일,KR,Challenger,703,1517,56.4,5.6,4.3,6.7,0.0049682539009951
真的不能這麼爛欸,TW,Challenger,591,2098,58.0,7.9,5.7,5.0,0.0049670492687614
Đừng dịu dàng,VN,Challenger,652,1729,61.3,6.0,3.7,8.9,0.0049662307554109
UEH Gia Qui,VN,Challenger,607,1990,58.8,7.6,4.3,7.0,0.0049653178353838
Τreasure Hunter,EUW,GrandMaster,819,2763,52.3,6.8,6.0,5.7,0.0049577127452077
Megalia,KR,Challenger,701,1528,55.4,5.2,4.3,6.4,0.0049558301845651
asdfasdfasds,EUW,Challenger,761,1265,52.7,5.5,5.5,5.7,0.0049506071430623
iybc9o2 q,EUW,GrandMaster,718,3081,56.2,5.8,4.7,6.4,0.0049503601266921
てっこおおおおお,JP,Challenger,556,2251,57.1,5.4,5.0,7.2,0.0049484506055361
Amfer,LAS,Challenger,603,2009,51.2,7.0,5.0,5.8,0.0049258950867116
Ri Co Le Mo,LAN,Challenger,653,1727,53.9,7.5,5.9,7.8,0.0049230978545839
LncL,EUNE,Challenger,610,1968,64.3,8.9,6.1,6.5,0.0049187540240433
will improve,EUW,GrandMaster,828,2742,55.6,5.9,4.5,6.9,0.004917478756277
Molnigt,EUW,GrandMaster,805,2805,53.8,7.5,5.4,5.0,0.0049038712717195
Molnigt,EUW,GrandMaster,805,2805,53.8,5.7,4.0,5.6,0.0049038712717195
Molnigt,RU,GrandMaster,516,4815,53.8,5.7,4.0,5.6,0.0049038712717195
Molnigt,RU,GrandMaster,516,4815,53.8,7.5,5.4,5.0,0.0049038712717195
Molnigt,RU,GrandMaster,516,4815,53.8,5.7,4.0,5.6,0.0049032162463266
Molnigt,EUW,GrandMaster,805,2805,53.8,7.5,5.4,5.0,0.0049032162463266
Molnigt,EUW,GrandMaster,805,2805,53.8,5.7,4.0,5.6,0.0049032162463266
Molnigt,RU,GrandMaster,516,4815,53.8,7.5,5.4,5.0,0.0049032162463266
Kvotheee,LAN,Challenger,668,1647,57.5,8.3,4.5,6.1,0.0048945962558099
沒有什麼難的,TW,Challenger,593,2083,54.3,6.3,5.7,5.9,0.004889203242592
kyeahoo,KR,Challenger,682,1581,53.7,4.2,3.7,6.1,0.0048891826602336
apple joy,SG,Challenger,545,2295,49.2,6.5,6.7,7.2,0.0048872936925997
120パーセント,JP,Challenger,582,2137,52.5,6.7,5.9,6.5,0.0048842004122496
bancan shat,BR,GrandMaster,844,2704,57.4,6.5,4.3,6.4,0.0048802337310922
GGarizz,JP,Challenger,578,2159,53.7,4.4,3.6,6.7,0.0048778279486418
GGarizz,JP,Challenger,578,2159,53.7,4.4,3.6,6.7,0.004876659249292
K B,TW,Challenger,584,2131,61.7,4.3,3.9,9.0,0.004868332494247
Chocolate Avelã,BR,GrandMaster,737,2994,53.6,4.6,4.2,9.4,0.0048655545336981
Conveying,EUW,GrandMaster,739,2980,53.5,5.6,4.9,6.8,0.0048653357373448
XDXD123,RU,Challenger,643,1780,56.7,4.9,4.8,6.9,0.0048611194017217
Acuarelas,LAN,Challenger,685,1573,65.8,7.1,4.5,6.5,0.0048579809004113
왕 자,KR,Challenger,670,1633,55.0,6.4,5.4,5.7,0.0048527698451426
Daddy,RU,Challenger,682,1584,58.2,7.7,3.1,6.0,0.0048521414152717
Dept,TH,Challenger,562,2227,54.4,5.7,5.3,7.3,0.0048416975835326
Yassuo,EUW,Challenger,736,1372,52.3,6.0,6.8,6.6,0.004841264878646
rinnetensei,TW,Challenger,550,2271,52.9,6.8,3.7,5.9,0.0048405465992717
Wenelinfo,EUW,GrandMaster,752,2933,56.6,6.5,3.9,7.3,0.0048380184508274
campamidplease,BR,GrandMaster,747,2948,51.5,5.7,6.0,6.2,0.0048365268442669
헤이스트,KR,Challenger,699,1527,52.7,4.9,4.6,8.0,0.004826260073515
baba is a sheep,LAS,Challenger,584,2132,63.1,10.0,4.6,8.0,0.0048238430435864
eYa Beaupere,EUW,GrandMaster,727,3043,56.1,5.0,3.9,7.3,0.0048209864923904
Wotah,SG,Challenger,595,2079,57.8,6.1,5.6,9.6,0.0048207984254347
Meowies uωu,EUW,GrandMaster,824,2754,56.6,5.9,4.5,8.9,0.0048164468693562
Braigtzoul,LAN,Challenger,656,1704,52.5,8.8,5.4,6.0,0.0048163413832146
pulga asesina,LAN,Challenger,628,1869,54.4,5.7,4.3,8.1,0.0048150965988271
ksiaze balagan I,EUNE,Challenger,601,2036,57.0,6.2,4.4,7.3,0.0048141900221632
Nadyel,LAN,Challenger,624,1898,53.9,6.0,5.4,5.9,0.0048129713053888
red pepper tuna,EUW,Challenger,965,539,61.0,5.7,4.7,6.4,0.004807565240818
JoacoFutbol1,LAS,Challenger,635,1824,53.4,6.9,6.3,5.9,0.0048075213871851
DN4HP,BR,GrandMaster,752,2933,52.8,6.8,5.6,4.8,0.0048031237886725
트빅카,KR,Challenger,629,1854,60.3,4.8,4.0,7.1,0.0048027736495126
암낫디온리원,KR,Challenger,643,1770,52.1,4.8,5.2,6.9,0.0048027701523341
Bornecaster,RU,Challenger,684,1576,52.8,6.0,5.7,8.4,0.0048003980970632
kirakiraluna,TH,Challenger,591,2097,58.8,8.0,5.8,8.1,0.0047997582715842
Thumper,BR,GrandMaster,738,2990,54.5,5.4,3.1,6.9,0.0047968620371206
DKB Mittelmäßig,EUW,GrandMaster,737,2993,53.2,6.5,4.5,6.5,0.0047964675372191
Envy Me diff,LAN,Challenger,653,1726,54.5,6.3,5.3,7.5,0.0047958610066783
twitch AKEN47,EUW,GrandMaster,806,2789,58.5,6.9,5.4,6.5,0.0047948005066254
Ryuin,EUW,GrandMaster,754,2929,60.5,6.6,4.7,8.1,0.0047886324191221
Eeee boyyyy,RU,Challenger,640,1805,56.9,10.3,5.8,6.2,0.0047863324627146
Lotus,TR,Challenger,571,2188,49.6,6.4,4.0,7.4,0.0047708260328567
Quero KatKat,BR,GrandMaster,739,2987,53.0,4.6,4.4,9.5,0.0047702622330059
OneMoreBeer,LAN,Challenger,623,1907,53.3,4.9,4.5,7.8,0.004767254919154
Ejay,LAN,Challenger,711,1473,53.0,5.3,3.9,7.0,0.0047660122397893
告诉老默我要吃鱼,SG,Challenger,655,1711,60.0,6.8,5.8,8.5,0.0047632052857428
GitoFoxc,LAS,Challenger,799,1115,55.0,7.0,5.1,6.9,0.0047555637216006
단국 대표 미드,KR,Challenger,657,1698,54.4,4.9,4.1,6.3,0.0047528229159184
小小西Z,TW,Challenger,541,2316,56.5,6.2,6.4,7.2,0.0047400235865841
Neó,TR,Challenger,501,2600,54.2,9.3,6.7,6.0,0.0047312909179841
FRENCHFRENCHXXDD,LAN,Challenger,626,1883,56.3,8.0,4.7,5.6,0.0047308377370135
MIdk1ng,TH,Challenger,638,1813,62.3,5.8,4.6,8.6,0.0047246375531772
detrevni,BR,GrandMaster,661,3419,51.8,4.9,4.7,7.3,0.0047192951029298
真好運,TW,Challenger,587,2113,54.4,5.6,3.6,6.6,0.0047187834350715
TTV Megaman7n7,LAN,Challenger,635,1820,52.1,4.8,4.0,7.3,0.0047166205334691
Julianinha,BR,GrandMaster,789,2839,52.5,6.6,4.8,6.5,0.0047093486765754
gg good gameXD,BR,GrandMaster,806,2796,52.6,5.4,4.9,7.1,0.004706367087625
물망망초,KR,Challenger,654,1715,52.6,6.8,4.4,5.4,0.0047057341398145
Kągurazaka Reina,VN,Challenger,514,2495,64.5,5.9,3.9,7.0,0.004699392189375
WORLDS2023,EUW,GrandMaster,766,2894,53.0,5.3,4.5,5.7,0.0046890775155546
토트 무지카,KR,Challenger,771,1211,52.9,5.1,5.6,6.5,0.0046756279440903
Maςaquiñø,EUW,GrandMaster,722,3065,54.4,7.0,4.4,6.5,0.0046684603992837
LilaS 86,BR,GrandMaster,815,2769,51.3,5.8,4.0,7.1,0.0046682379900732
TTV iljimaeEUW,EUW,Challenger,1068,296,53.1,6.0,3.5,5.5,0.0046637223527575
未 来,JP,Challenger,585,2127,50.5,6.5,4.4,6.2,0.0046618906779976
RRRRRRRRRRRR,SG,Challenger,632,1838,51.6,5.6,4.8,6.6,0.0046507306391047
RRRRRRRRRRRR,SG,Challenger,632,1838,51.6,5.6,4.8,6.6,0.0046499241703518
lflphl,EUW,GrandMaster,734,3011,52.3,5.1,4.8,8.5,0.004645674709427
stfu and play,TR,Challenger,610,1966,58.6,10.3,6.8,6.5,0.0046453805997187
Bichito Power,EUW,GrandMaster,723,3060,58.0,5.8,4.4,8.9,0.004632187178155
Sudion VV,BR,GrandMaster,709,3126,58.8,5.2,4.3,6.5,0.0046318322677275
Naive Smol Kid,EUW,GrandMaster,703,3170,54.6,6.3,3.5,8.6,0.0046190606499979
hate this game,TH,Challenger,605,2000,57.1,8.6,4.3,7.1,0.0046186303364603
indoor fish,EUW,GrandMaster,689,3265,51.9,5.5,4.9,5.9,0.0046103319339004
SCP 343,TR,Challenger,685,1572,54.7,8.3,7.3,8.3,0.0046060662547642
Le ignuj,EUW,GrandMaster,700,3184,52.5,5.8,5.6,6.3,0.0045931491085174
Diệu Linh Yasuo,VN,Challenger,546,2291,58.8,7.4,6.6,6.5,0.0045878207062806
Yellow puppy,EUW,GrandMaster,740,2979,52.8,6.4,5.4,6.0,0.0045830928421508
5ilk,EUW,GrandMaster,614,3794,54.2,6.3,5.1,6.1,0.0045826380657676
INDD,EUW,GrandMaster,584,4117,52.4,4.9,4.8,7.0,0.0045809013622177
GraftonFarmhouse,BR,GrandMaster,704,3161,53.3,6.6,5.4,6.0,0.0045802495371584
Pandab3ar,BR,GrandMaster,736,2998,52.0,3.9,4.6,9.1,0.0045775543966102
Moussse,TW,Challenger,534,2357,54.3,6.4,5.8,5.1,0.0045761409873741
lvoryy,KR,Challenger,729,1394,52.9,5.3,5.2,6.1,0.0045696037031575
Nitz,BR,GrandMaster,824,2739,51.7,6.1,5.2,5.7,0.004567884980964
MIDIKING,KR,Challenger,677,1602,52.0,5.9,4.1,5.2,0.0045488716595333
ECO FisheR,EUW,GrandMaster,735,3001,53.6,5.5,4.4,6.6,0.0045480700700416
Iccccy,TW,Challenger,605,2001,58.9,8.1,5.4,5.0,0.0045475431679892
SELAM KIZLAR,EUW,Challenger,1101,257,57.2,5.6,5.4,6.7,0.0045428164532948
Acyntosimaja,TR,Challenger,625,1887,64.3,9.0,6.9,5.3,0.0045376730338395
Mg m1d,KR,Challenger,736,1372,55.4,6.3,4.7,8.0,0.0045359571542516
