,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,FNC Hylissang,TL Honda CoreJJ,Vulcan 01,역천괴,school phobia,mersa777,Targamas,KC Leona,Zaunite Mylo
294,Marilamilk,TH,Challenger,505,2564,52.7,3.0,5.1,13.1,0.0026559667895327,0.0004364754034193,0.0003812814441068,0.000300320738954,0.0001873362239462,0.0003136300660149,0.0002074186533702,0.0004103900737993,0.0003670922896052,5.202189631653726e-05
295,Aikawa Kizuna,PH,Challenger,502,2591,54.1,4.0,5.4,10.2,0.0026548463905465,0.0004299438880289,0.0003777280480913,0.0003120750931341,0.0001895230660694,0.0003107953891681,0.0002071696916024,0.0004045058706979,0.0003703368673588,5.276847639534545e-05
296,SNDR,PH,Challenger,705,1505,53.4,2.3,4.9,13.0,0.0026480985833736,0.0004096575630101,0.0003755943955781,0.0004524910332473,0.0001595052741371,0.000314320647455,0.0002088355986785,0.0003952241548761,0.0002764307336158,5.603918277537017e-05
297,Giguiron,BR,GrandMaster,823,2744,52.6,2.3,4.7,14.0,0.0026413575450546,0.0004124223093379,0.0003736179142227,0.0003000847878193,0.0001941571088827,0.0003145816665955,0.0002052791929138,0.0003902317037131,0.0003986493987593,5.233346280986902e-05
298,Chtholly Nota,EUW,GrandMaster,845,2706,54.8,1.4,4.4,12.6,0.0026373882762366,0.0004208781689122,0.00037218961734,0.0003039964457526,0.0001929755864064,0.0003110216345205,0.0002065941710568,0.0003969655515426,0.0003801201375098,5.26469631952742e-05
299,LickMyHeaI,EUW,GrandMaster,766,2896,53.8,2.1,6.5,14.0,0.0026314719218739,0.0003837107726186,0.0003641979470297,0.0003020676017547,0.0002068083966989,0.0003063000532667,0.0002136111489213,0.0003634272839316,0.0004387691544293,5.257956322279419e-05
300,Cinqe,EUW,GrandMaster,816,2772,53.0,1.7,4.5,12.9,0.0026262943275052,0.0002966818653198,0.0003419416547419,0.0003224241668426,0.0001881389446759,0.0003333979408508,0.0001883153634499,0.0002879927258205,0.0006146152003323,5.278646547123974e-05
301,Dadadada Tenshi,EUW,GrandMaster,768,2890,54.2,4.0,6.2,11.4,0.0026249125115308,0.0003757424976414,0.00036120246639,0.0003051463164206,0.0002034351345814,0.0003098551904243,0.0002052735964137,0.0003567317744372,0.0004547187549991,5.2806780222703775e-05
302,Rhÿ,PH,Challenger,503,2583,58.1,6.8,4.7,11.1,0.0026067713786021,0.0004083756516474,0.0003665107198225,0.0003355885007365,0.0001904144839212,0.0003016255837587,0.0002076230843625,0.0003858693802364,0.0003566465418527,5.411743226381159e-05
303,MILO J,BR,GrandMaster,678,3310,54.8,2.8,5.3,12.3,0.00260619987278,0.0002728114571904,0.0003082662031743,0.0003013567195698,0.0002131221781592,0.0002905503325412,0.0001888304921566,0.0002644999320898,0.0007131894360715,5.357312182683481e-05
304,ehxc9,EUW,GrandMaster,784,2848,52.4,2.1,5.0,11.6,0.0026038489578922,0.0003919057480796,0.000362419121,0.000299827293953,0.0001975636747608,0.000309490308159,0.0002022785337566,0.0003708419433178,0.0004168945956824,5.262773918252853e-05
305,ben dan xiao you,EUW,GrandMaster,665,3381,51.7,3.9,5.6,12.3,0.0026017440442365,0.0003106171045611,0.0003233606034523,0.0003005611169895,0.0002378599281009,0.0002818284055505,0.000214145753967,0.0002974018162622,0.0005823069350865,5.366238026599068e-05
306,pure empathy,EUW,GrandMaster,729,3040,55.1,2.2,5.2,15.8,0.0025961281225031,0.0003561968436911,0.0003516879334706,0.0003027875989728,0.0002118008279442,0.0003007298278444,0.0002080766686591,0.0003393377486612,0.0004725806311171,5.293004214216378e-05
307,LiL TommyG,EUW,GrandMaster,779,2866,51.7,2.6,5.4,15.3,0.0025918944311246,0.0003897645673195,0.0003602590147988,0.000297653857082,0.0001982827952883,0.0003073308597512,0.0002024442008753,0.0003687915524533,0.0004147790757239,5.2588507831801125e-05
308,vaggut,EUNE,Challenger,816,1050,54.9,2.6,5.3,14.6,0.0025914233626477,0.000375643059263,0.0003632429649876,0.0005031017921482,0.0001488902201666,0.0003162778208718,0.000204254495337,0.0003674856055634,0.0002560001478631,5.652725644662248e-05
309,UpDMP,BR,GrandMaster,772,2875,51.6,4.5,5.3,10.1,0.0025870956711967,0.0003900194746845,0.0003601626556025,0.0002959004473147,0.0001990502086032,0.0003056318496014,0.0002043187021478,0.0003696303543737,0.0004098844305292,5.249754833933296e-05
310,40yo glinomes,EUW,GrandMaster,710,3124,56.8,2.0,5.1,13.0,0.0025836449194562,0.0003413334604719,0.0003442301460502,0.0003017205645927,0.0002131775500003,0.0002991024494211,0.0002033371303289,0.0003260007107342,0.0005016952816525,5.3047626204125706e-05
311,LNG Hang,BR,GrandMaster,737,2999,51.9,2.4,5.4,12.9,0.0025797465551439,0.0003687048845061,0.0003522142765037,0.0003025485571124,0.000210366781269,0.0002970599840558,0.0002115017207986,0.0003503162767061,0.0004339951683,5.3038905891869307e-05
312,braydon,EUW,GrandMaster,634,3610,55.0,2.9,5.9,13.2,0.0025776693853388,0.0002803098790139,0.0003013831753234,0.0002928782007595,0.0002509513081723,0.0002682048084342,0.000208887463598,0.0002698872344534,0.0006511039395156,5.406337606812674e-05
313,mac 10,EUW,GrandMaster,714,3102,51.4,2.3,4.1,12.1,0.0025763354891356,0.0003522064353159,0.0003454445801551,0.0002969179942681,0.0002132690766774,0.0002973430885278,0.0002073744263506,0.0003349061732779,0.0004760251801339,5.2848534428572495e-05
314,MOO5257,EUW,GrandMaster,735,3007,60.3,3.1,4.3,12.9,0.0025712710321561,0.0003662697355742,0.0003512538682135,0.0003059168951647,0.0002109167411395,0.0002952406363233,0.000212943264388,0.0003482159218747,0.0004272951315108,5.321883796702682e-05
315,PI Blade40,EUW,GrandMaster,787,2837,53.4,1.6,5.3,14.0,0.002564866338567,0.0003981979192372,0.0003574955404987,0.0002920760859195,0.0001961825939456,0.0003018009029186,0.0002035066553374,0.0003768770389087,0.0003862658338615,5.246376793960021e-05
316,선제공격 카르마,KR,Challenger,662,1679,54.0,2.0,5.9,12.3,0.0025581101266424,0.0002620785148911,0.0003539116076915,0.0003619247891191,0.0001640309208268,0.0003807410876635,0.0002045745879593,0.000257947039711,0.0005215644890603,5.133708971931932e-05
