nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score
duII,PH,Challenger,671,1635,57.1,7.8,5.1,5.8,0.0015224157737146
Fiorajj focado,BR,GrandMaster,705,3155,51.1,5.6,6.2,4.1,0.001522267879425
10데스 박을게,KR,Challenger,684,1576,54.3,5.5,3.9,5.0,0.0015205514537591
Banderas,EUW,GrandMaster,746,2952,52.4,5.2,4.9,5.0,0.0015197451054545
0R NOIR PART II,EUW,GrandMaster,770,2881,54.9,4.9,5.4,5.8,0.0015195615546532
qxcfgooh,BR,GrandMaster,820,2761,52.1,5.1,4.4,5.0,0.0015163076617044
zihsihderen,KR,GrandMaster,612,3812,63.8,4.5,4.2,6.8,0.001516194334987
Soumaaa,VN,Challenger,528,2395,55.7,6.3,5.0,5.7,0.0015151130720369
Ninø Nakano,LAS,Challenger,672,1629,50.8,5.0,6.0,7.3,0.0015148963554761
SUPERJUUZOU,EUW,GrandMaster,792,2825,52.7,5.0,4.9,4.9,0.0015136276325595
eclipse1,BR,GrandMaster,815,2781,61.5,6.5,4.9,5.1,0.0015131661156384
1134 2 09,EUW,GrandMaster,654,3466,55.3,5.2,4.0,4.7,0.0015131165795262
halun1,VN,Challenger,500,2609,55.7,5.5,5.6,6.2,0.0015123260086297
Johnny Sins IRL,EUNE,Challenger,725,1406,61.4,5.5,4.2,8.0,0.0015104654123401
need patience,EUW,GrandMaster,700,3186,53.4,5.6,5.7,5.4,0.0015054213359196
Black Sky324,EUW,GrandMaster,621,3714,56.3,5.3,4.6,4.1,0.001504106676177
Black Sky324,EUW,GrandMaster,621,3714,56.3,5.3,4.6,4.1,0.001503470113441
Omri,BR,GrandMaster,741,2975,56.9,6.3,4.3,6.5,0.0015027232955067
Va por ti Vera,LAN,Challenger,684,1576,57.7,5.8,5.7,8.1,0.0015025212163066
おけつ,JP,Challenger,706,1499,51.4,4.6,4.4,7.2,0.0015022741032303
