,nombre_invocador,region,liga,lps,ranking_mundial,winrate_total,kills_player_kda,deaths_player_kda,assists_player_kda,score,Hide on bush,pleroma chronou,Wesley Warren Jr,GOOD GAME GG EZ,Jænsen,dajor25,Percy Magic,M1dLaoBan,Disabled Chattt,boiat nastana
1278,Laceration,EUW,GrandMaster,629,3645,52.3,7.9,6.5,5.5,0.0038232188387645,0.0004595089392991,0.0007354036341976,0.0002960656777158,0.0002209728071257,0.0007288599939955,0.0004118243020171,0.0002643186696985,0.0002962412175363,0.0001463440292028,0.0002707608311861
1279,Laceration,EUW,GrandMaster,629,3645,52.3,7.9,6.5,5.5,0.0038232188387645,0.0004594319027123,0.0007527041005105,0.0002947144216845,0.0002204820054872,0.0007099629748159,0.0004112685188249,0.0002632666519633,0.0002950354672479,0.0001467552435849,0.0002695975519327
1280,PRK Maxiblob,EUW,GrandMaster,639,3557,52.4,4.5,4.7,7.0,0.0038285822331787,0.0004522188490914,0.0005677038766199,0.0003107670701689,0.0002254754532309,0.0008471728239265,0.0004236582370004,0.0002753710159662,0.0003002412314919,0.0001442098273108,0.0002817638483714
1281,Brksson Bosanac,EUNE,GrandMaster,584,4120,54.7,6.6,5.5,5.8,0.0038207923874087,0.0009353873341534,0.0005914064609861,0.0002444531576614,0.0002344471735649,0.0005068647887661,0.0004479955121232,0.0002276565091241,0.0002439271278346,0.0001533171539423,0.0002353371692522
1282,Brksson Bosanac,EUNE,GrandMaster,584,4120,54.7,6.6,5.5,5.8,0.0038207923874087,0.0009313017677441,0.0005774028637392,0.0002430581866586,0.0002351881023823,0.0004970685986109,0.0004454866223839,0.0002266839630004,0.0002426829807276,0.0001529184925834,0.0002343848383449
1283,Brksson Bosanac,EUNE,GrandMaster,584,4120,54.7,6.6,5.5,5.8,0.0037861764161757,0.0009353873341534,0.0005914064609861,0.0002444531576614,0.0002344471735649,0.0005068647887661,0.0004479955121232,0.0002276565091241,0.0002439271278346,0.0001533171539423,0.0002353371692522
1284,Brksson Bosanac,EUNE,GrandMaster,584,4120,54.7,6.6,5.5,5.8,0.0037861764161757,0.0009313017677441,0.0005774028637392,0.0002430581866586,0.0002351881023823,0.0004970685986109,0.0004454866223839,0.0002266839630004,0.0002426829807276,0.0001529184925834,0.0002343848383449
1285,kasadei,EUW,GrandMaster,723,3056,53.1,6.8,4.6,6.0,0.0038160029383702,0.0005368872732777,0.0005133422461702,0.0003070908242532,0.0003063965865785,0.0006076269935934,0.0005213405922014,0.0002842867547649,0.0003085917752448,0.0001328758859121,0.0002975640063736
1286,dang iiu,VN,Challenger,524,2422,52.5,5.4,6.2,8.4,0.0037962732078026,0.0003702386642132,0.0004981561116617,0.0003151261662,0.0003619496976717,0.0004335186912638,0.0007252123565276,0.0003141328431346,0.0003460103991598,0.0001201345262682,0.0003117937517016
1287,ALKSJHDLKCH,EUW,GrandMaster,715,3096,53.4,5.7,3.9,5.7,0.0037962509715797,0.0005659766069581,0.0004886481983772,0.000287763373045,0.0003285834028797,0.0005079616936854,0.0006353392118248,0.0002752405299563,0.0002914455047464,0.0001314290630474,0.0002838633870591
1288,paraiso,BR,GrandMaster,840,2722,57.0,10.8,7.0,6.1,0.003794802443819,0.0004295031562903,0.0004009531475949,0.000278986980004,0.0003931723806577,0.0003970944473266,0.0009222764409172,0.0002822306297483,0.0002853309742174,0.0001229463725521,0.00028230791451
1289,Soligo,EUW,Challenger,889,803,57.7,5.8,4.5,7.0,0.003791626770574,0.0002427788482463,0.0002872256043495,0.0003834582222281,0.000755966248301,0.0003343832354748,0.0003934054239371,0.000418368536481,0.000454195795625,0.0001010209673532,0.0004208238885777
1290,TTV Deadly405,LAN,Challenger,1339,62,55.4,9.1,4.1,5.7,0.0037890129227966,0.000206035160913,0.0002233992598267,0.0004394718392798,0.0007564678497466,0.0003092463966177,0.0002839409698005,0.0004776527367978,0.000467064488751,9.417628754091451e-05,0.0005315579335222
1291,GodlyStriker,EUNE,Challenger,608,1983,58.4,8.0,4.8,6.1,0.0037844520174263,0.000290745737782,0.0003530879511516,0.0004000244116694,0.0003239324906158,0.0004771380308368,0.0006498883639925,0.00040614473117,0.0003909546474447,0.0001146049408401,0.0003779307119228
1292,midqaqq,KR,GrandMaster,577,4184,57.4,6.0,3.9,7.2,0.0037842482974818,0.0006357356458039,0.0007513088909683,0.000258431424843,0.0002123762041163,0.0006086379044,0.0004261044985499,0.0002359692062753,0.0002561669134552,0.0001583035419424,0.0002412140671271
1293,Fallschirmjäger,RU,Challenger,709,1486,50.0,5.7,4.1,6.1,0.0037804581082403,0.0002483883064084,0.0003499417308859,0.0004933033349399,0.0002849524020389,0.0004887753812141,0.0003234080537651,0.000423897251551,0.0006128353046322,0.000109732067129,0.0004452242756754
1294,Quantum,EUW,GrandMaster,664,3388,50.6,7.0,4.4,6.7,0.003777498301455,0.0004249949819908,0.0005353581604269,0.0003252973084769,0.0002304713952464,0.0008092019181547,0.0004189434952102,0.0002865063951689,0.0003137112726077,0.0001406847936685,0.0002923285805037
1295,Sang Vlogs,VN,Challenger,585,2124,57.1,7.4,6.1,6.9,0.0037696532597224,0.0003027293740395,0.0004727917568765,0.0003985607323723,0.0002949337062558,0.0005410449251211,0.0004426723331229,0.0003695571716167,0.0004585310412857,0.000117681163687,0.0003711510553444
1296,CG Einard,EUW,GrandMaster,659,3434,52.5,5.5,4.9,6.6,0.0037693151383212,0.0004332362942773,0.0005831919426638,0.0003157072776908,0.0002272949388587,0.0007764342032457,0.0004194668757824,0.0002790706193264,0.0003062122644415,0.0001430889747306,0.0002856117473036
1297,TTV GGodmaw,LAN,GrandMaster,576,4200,64.9,7.8,5.3,6.1,0.0037670404092962,0.0008125009772514,0.0006245051274687,0.0002499868817241,0.0002218513202945,0.0005616551178591,0.0004255243578602,0.0002297324089309,0.0002471745577477,0.0001570633172692,0.00023704634289
1298,TTV GGodmaw,LAN,GrandMaster,576,4200,64.9,7.8,5.3,6.1,0.0037670404092962,0.0008153931345206,0.000621994678862,0.0002497707960383,0.0002220954138076,0.0005599628885309,0.0004255086688866,0.0002296048353736,0.000247015226345,0.000156959566141,0.0002369384760423
1299,TTV GGodmaw,LAN,GrandMaster,576,4200,64.9,7.8,5.3,6.1,0.0037652436845484,0.0008125009772514,0.0006245051274687,0.0002499868817241,0.0002218513202945,0.0005616551178591,0.0004255243578602,0.0002297324089309,0.0002471745577477,0.0001570633172692,0.00023704634289
1300,TTV GGodmaw,LAN,GrandMaster,576,4200,64.9,7.8,5.3,6.1,0.0037652436845484,0.0008153931345206,0.000621994678862,0.0002497707960383,0.0002220954138076,0.0005599628885309,0.0004255086688866,0.0002296048353736,0.000247015226345,0.000156959566141,0.0002369384760423
1301,B Ζ,EUW,GrandMaster,696,3203,51.9,6.7,4.8,5.9,0.003765573649026,0.0005635741864638,0.0005334926214658,0.0002965956038264,0.000290572601694,0.0005880358593397,0.0004983269505704,0.0002742025027287,0.0002987253446088,0.0001355260032406,0.0002865219750873
1302,Helli,RU,GrandMaster,622,3710,51.5,7.4,6.0,6.1,0.0037639269425409,0.0004677699192083,0.0005471770719359,0.0002978015049036,0.0002220014627237,0.0008397098869066,0.0004166949955192,0.0002658105071579,0.0002886158443463,0.0001455468665141,0.0002727988833249
1303,Peridot,EUW,GrandMaster,555,4409,58.2,5.9,4.8,6.7,0.0037570649642004,0.0008207020548897,0.0007014791875237,0.0002396835225881,0.0002096177419566,0.0005133573155103,0.0004226668237729,0.0002212436730986,0.0002368149277382,0.0001650858279634,0.0002264138891586
1304,Peridot,EUW,GrandMaster,555,4409,58.2,5.9,4.8,6.7,0.0037570649642004,0.0008154392622763,0.0007009974761392,0.0002397810100176,0.0002094485209313,0.0005139725367835,0.0004220081456348,0.0002212880760017,0.0002368880503675,0.0001650950444925,0.0002264577852276
1305,Peridot,EUW,GrandMaster,555,4409,58.2,5.9,4.8,6.7,0.0037513759078725,0.0008207020548897,0.0007014791875237,0.0002396835225881,0.0002096177419566,0.0005133573155103,0.0004226668237729,0.0002212436730986,0.0002368149277382,0.0001650858279634,0.0002264138891586
1306,Peridot,EUW,GrandMaster,555,4409,58.2,5.9,4.8,6.7,0.0037513759078725,0.0008154392622763,0.0007009974761392,0.0002397810100176,0.0002094485209313,0.0005139725367835,0.0004220081456348,0.0002212880760017,0.0002368880503675,0.0001650950444925,0.0002264577852276
1307,TTV chenchen53,EUW,GrandMaster,626,3673,52.0,4.9,4.8,6.8,0.0037545497434694,0.0004750862310213,0.0006033436205141,0.0002974027773252,0.0002214511435555,0.0007656986732098,0.0004196968224913,0.0002647531318942,0.0002883639516035,0.000147505935257,0.0002712474565969
